major	no	after_prefix
玩转生活	1	人体是个奇妙的信号发射台就象电视台通过发射各种信号而构成丰富多彩的电视节目一样，人的身体也是一个奇妙的信号发射台，正是这些信息，构成了丰富多彩的人体语言。人体语言与文字语言相互融合，完成着人与人之间的通讯联络。人体语言，或叫身体语言，早在本世纪五六十年代西方一些国家就开始进行研究，并由此发展成为一门颇有诱惑力的新科学——人体语言学，也有人称它为举止神态学。人体语言学致力于解释和研究非文字通讯的行为现象(动作、姿势、体态、表情)及其规律。作为一门科学，它还很年轻。但却已经引起了人们的极大兴趣，同时也被应用到其他领域中。临床试验表明，有时候人体语言会在很大程
玩转生活	2	试验 80 人，79 人用身体“说话"近些年，身体语言学在西方方兴未艾。为了取得第一手的资料，研究者们进行了多种多样的试验。这里介绍的主要是对人体所需要的“私人空间”所做的试验。对这方面的试验，美国加利福尼亚大学心理学教授和心理学系主任萨默作了详细描述。其中，对女科学家南希·拉森的试验结果的报导最具典型性。拉森在研究侵犯空间的问题时，她把一个大学图书馆作为实验场地，图书馆非常适合于用来观察人的反应，这是笼罩着一种特殊肃静的气氛，这种气氛似乎在警告人们不要去干扰别人。在大多数情况下，一位走进图书馆大厅的读者是没有人去理睬的，他通常也找一个旁边无人的位置坐下
玩转生活	3	姑娘噘起了漂亮的小嘴巴民以食为天。所以，一提到嘴，自然首先想到的就是“吃”。 的确，嘴是一个摄取食物的器官。如果人没有嘴，就没法吃，就得死。这已是不言而喻的。当然嘴还是呼吸器官。如果你的鼻腔出了问题，作了手术，暂时被包扎起来，那么，你就可以用嘴来代替鼻孔呼吸了。除了以上两者外，人们也许还会想到嘴巴的说话功能。我们常常形容那些能说会道的人是“长着一张乖巧的嘴”，或者“你瞧她那张嘴，能把死人说活了。”等等。对于嘴的认识，我们一般都会停留在以上这些方面。当然，打架时，也可拿嘴去咬对方的手指、胳膊或耳朵。这是小孩打不过大孩时常用的绝招。现在要问一下，除此之外，你
玩转生活	4	有趣的狗打架人是自然界长期发展的产物。人在没有成为人之前，和其他动物一样生活在自然界中。后来，有了思维能力，能够制造工具，并在劳动中产生了传播信息的语言。那么，在没有语言之前，就不会传播信息吗?当然不是。这里，我们看看动物是怎么传播的。动物传播与人类传播之间的关系，目前才开始为人类所了解。我们在非口头传播中所获的知识，许多是从动物的实验而来。鸟类彼此间的传播，是借鸟鸣行之。代代相传，鸣同样的调子，同样单纯或复杂的曲调。许多年来，科学家一直相信，这些调子，这些鸟鸣，就像海豚的语言、黄蜂的舞语以及青蛙的“交谈”一样，都是遗传而来的结果。但现在，有人怀疑它是否
玩转生活	5	身体语言能诊病在西方，身体语言已被作为一门独立的科学来研究。研究者们从大量实验里发现，人的“姿态”包含着深刻的感情奥秘。现在，这门科学的研究成果，正越来越多地被运用于治疗精神病的临床上。正如美国人体语言学家朱利·法思特所说：“最近几年来，人体语言的治疗作用越来越受到心理学家和精神病科医生的重视，不少人在临床实践中应用了人体语言，但这种应用有时是无意识的。”为了使人们对身体语言有更深刻的认识，从而由“无意识”地应用变为自觉地运用。所以，专家们在不断地揭示人体语言的奥秘。坦普尔大学人类学基础研究教授伯德惠斯特尔博士在人体语言学术研究方面作了大量工作，他指出：
玩转生活	6	这孩子跟他爸一样当我们听到有人说：“这孩子跟他爸一样”时，可能有两种含义，一是指这孩子长相跟他爸一样，二是说这孩子的某些动作神态跟他爸一样。那么，这后一个一样就带来一个问题，孩子的动作神态是爸爸遗传的还是向爸爸学来的?天性的遗传，不是一件简单的事，学习的过程亦然。无论是思维语言，还是身体语言，究竟有多少是来自遗传，有多少是来自学习，这很难确切地划分。其实，人类的一切行为，既不是全由学习而来．也不是全由遗传而来，而是二者的结合。这里，涉及到一个身体语言的共同性问题，也就是说，有没有一种人类共同的、不受文化背景影响、用之于任何人身上都皆准的姿势和表情?是否有
玩转生活	7	校长误解了一位女学生的眼神人的眼睛是传神的，但在不同的国家和地区，由于受到不同文化的影响，眼睛传出的内容也不同，不了解这一点，就有可能产生对眼神的误解。例如，在美国，如果敢于正视对方，这是正直和诚实的标志，但其它国家却有其它规则。纽约一所中学一个名叫利维亚的 15 岁女学生，有一天和几个女同学在盥洗室被人碰上了，人们怀疑她们在那儿抽烟。这些女生中大部分是出了名的捣蛋鬼，尽管利维亚从来没有犯过错误，校长在跟她谈话后确信她这次犯了校规，并决定不许她再上课。利维亚并没有承认她犯了过错，后来校长说：“很简单，是她的目光，她绝对不愿正视我。”不错，利维亚在和校长谈
玩转生活	8	人都在用“面具”包装自己人们制造出一些外部表情和相关的身体动作进行自我包装，也就是常言所说的“装模作样”。这在身体语言学上，叫做“戴面具”。人人如此，无一例外。我们给外界看的脸孔很少是真正的脸孔，即我们的行为或脸部表情很少表示我们真正感受到的东西。在需要发射脸部表情或人体动作语言时，我们会十分仔细地进行自我装修，这种装修包括装饰外表、选择衣服、配发型等。我们的外表印象向我们的朋友和熟人传递着一种人体语言信息。戈夫曼博士观察到，经我们仔细护理并戴在脸上的面具有时会突然松下来，使我们在一种暂时的衰竭状态下显示我们的本来面貌。由于疲倦或愤怒而忘记了继续包装我们
玩转生活	9	小动作说明大问题有的家长为了保护孩子的牙齿，不让孩子吃糖，而孩子趁大人不在时偷了一块。当大人查问时，孩子嘴上说；“我没拿糖”，但却把小手藏在了屁股后去。这个“小动作”，一下就告诉了大人，准是这孩子偷了糖。类似孩子偷糖的“小动作”，在成人中，在官场上，在商场上，在一切社交场合，都是存在的，所不同的是，成人毕竟是成人，所以要比孩子做得巧妙得多。但无论多巧妙，只要你做出“小动作”，就会被识破。因为，这些小动作，都是身体语言，它反映出了你的心理。这些心理，往往是不愿意用语言说出来的。 下面我们就来看看身体语言与人的心理之间的关系。在精神医学或暗示治疗法中，要了解
玩转生活	10	如果你想使自己更完美求美之心人皆有之。每个人都会想使自己更加完美，在竞争的时代，更完美就更有竞争力。莎士比亚在其名著《哈姆雷特》中借剧中人物的口说：“人是多么了不起的一件作品!理性是多么高贵，力量是多么无穷!仪表和举止是多么端正，多么出色，论行动，多么象天使!论了解，多么象天神!宇宙的精华，万物的灵长! ”这番富有诗情的议论多好啊!的确，在世界上的一切事物中，没有比人更美丽的了。那么，人怎样才会美呢?人的美分外在美，内在美。外在美又可分为容貌美和行为美。内在美主要指心灵以及心灵美的外部表现一性格、情操等。人体美有时代的差异，我国唐代的女性以丰腴为美。美在
玩转职场	1	瞒不过丁老板的三角眼丁老板是位五十多岁的人，长一双三角眼，在一家广告公司任总经理已经五年了。因为他是我的朋友，所以从我这里了解了一些有关身体语言学方面的知识。我还送给他一本美国的朱利·法思特所写的《人体语言》小册子给他读。他读后给我打电话说：“要是早两年看过这本书，就不会用错那几个人，公司也就不会遭那么大的损失。”他说的那几个人，是两年前他们公司聘用的三个温州人。当时，那三个人经人介绍找到了他的公司。说他们掌握有七八家大客户，有的是做广告，但前提是三个人都到该公司来工作，并且其中一人还要担任个部门经理。根据三人说的情况，和所看到的他们展示的客户资料，丁老
玩转职场	2	神态——征服对手的力量有位部门经理，总觉得自己在公司里没有被充分重视。当他向妻子谈到这个问题时，妻子对他说：“你要想引起同事的重视?你就应当显示出你的力量。”“那么，怎么才能显示出力量呢?”他问妻子。“这，只有去问你自己了。妻子的回答，令他很失望。 如果他研究一下身体语言与人的内在力量的关系，也许他就不用去问妻子了。同样，如果他的妻子研究过这个问题，也就能给他一个满意的回答。这里，我们就来谈谈一个人怎么才能使别人感觉到你有力量——一种征服人的力量。因此，一个人有没有力量，同他们身体形状有重要关系。也就是说，只要你注重身体语言表达，你就能得到一种力量的自我
玩转职场	3	鸭子死了嘴还硬在公司里，有些职员在进行某项从前没做过的新业务时，常常表现出没信心。这时就需要老板、经理们给予鼓励，或给予增强信心的有关保证。 问题是，没信心的人，往往不说自己没信心，嘴上总说“行”。这就是俗话说的“鸭子死了嘴还硬”。作为企业领导者，怎么才能看出你的职员在接受某项任务时，是否有信心。按照身体语言学的解释，人们在没有信心去做某事的时候，他并不是就不去做那件事，而是首先寻求信心，然后再去做事；而寻求信心的心理状态，一定会在身体动作上反映出来。因此，要看出一个人对某件事有没有信心，对于懂得身体语言的人来说，也就不是一种困难的事了。我的一位朋友，有
玩转职场	4	十指相钳，信心十足威廉·鲍士在《违背神的十二罪行》中写了这样的诗句； 世人从不知道去提防这些深具威严的人，他们平静地直视你的眼，从不说笑，从不犹豫，说话充满警惕的暗示与隐喻，但是在适当时保持沉默这就是信心的把戏仍然流行的原因。这七句诗中，对人们通常所理解的代表有信心的姿势神态，作了勾画。上一篇，我们谈了表示没有信心、寻求信心的姿势，这里，我们接着谈表示有信心、自负等心理状态的身体语言。无论男女，当他(她)坐在桌前，十指交叉置于下巴的前方，两胳膊肘抵在桌面上，脸微微扬起，两眼目光平视，或视前方，或视左右，两肩自然下垂并由此给人一种脖子上升的感觉，脸部稍向前
玩转职场	5	拍马屁与拍肩膀在公司里，下属为了讨好上司，经常给上司献殷勤，如说些言过其实的吹捧话等。人们看不惯这种行为，故称之为“拍马屁”。有时候，上司为了使部下感到他是平易近人的，所以，在交办什么事时，常拍打着部下的肩膀说：“凭你的精明能干。办这件事没问题。”或者是跟部下谈完话后，拍拍肩膀鼓励道：“干得不错，继续努力。”当然一般都是年长的上司对年轻的部属才这样。 而被拍肩的部下立即产生一种与上司拉近了关系的感觉。上司所期望的，正是这种效果。为什么拍肩能产生这种效果呢?这就要从人的肩膀本身的身体语言功能作出解释了。古人常用“肩”字来表现人的心理状态，例如“不肩好货”，
