path	line	chapter	no	text
temp/《零距离人性》/index.md	12	（H1之后/未识别章节）	2	坐姿坐姿是一种静态的身体造型，是人们在社交中采用最多的姿势。端庄优美的坐姿不仅给人以稳重、大方的感觉，也是个人气质和修养的重要表现形式。但是，千人千面，不可能每个人的坐姿都相同，所以，从不同的坐姿，我们可以窥视不同人的性格。
temp/《零距离人性》/index.md	39	（H1之后/未识别章节）	3	站姿在人际关系中，站姿是一个人全部仪态的核心。所谓“站有站相”，一个人的站姿不仅能显示这个人的气质和风度，也是这个人内心想法的真实体现。所以，观察一个人的站姿，可以知道他们的某些性格特点和此时此刻的心理精神状态。
temp/《零距离人性》/index.md	53	（H1之后/未识别章节）	4	走姿英国心理学家莫里斯经过研究发现一个有趣的现象：人体中越是远离大脑部9 V
temp/《零距离人性》/index.md	77	（H1之后/未识别章节）	5	睡姿有人说：“人到了睡觉的时候，往往是最放松的时候。”当然，这里要排除那些带着心事入睡的人。当人进入熟睡状态，完全不受意识的控制，就会把他们在清醒时隐藏在内的某种思想，完全通过他的睡姿表现出来。如果说什么时候看人心最好？当然是在一个人睡觉的时候。
temp/《零距离人性》/index.md	93	（H1之后/未识别章节）	6	醉态15 V
temp/《零距离人性》/index.md	107	（H1之后/未识别章节）	7	腰语俗话说：“男人头，女人腰摸不得。”可见腰部对女人来说是多么重要。女人的腰，是除了女人的臀部和胸部以外的性感符号，它常常是以无声的线条来表示意义的。女人的腰，它就是一个线条符号，是人类在有声语言之外最具表现能力17 V
temp/《零距离人性》/index.md	114	（H1之后/未识别章节）	8	手指俗话说：“十指连心。”手指的动作变化与人心的变化是相映成趣的。善于观察的人，能够从手指变化的姿势中了解一个人的性格和心理活动。
temp/《零距离人性》/index.md	131	（H1之后/未识别章节）	9	手势一个人的手势可以起到弥补有声语言不足的作用，增加有色语言的分量。不自觉的手势可说是一种内在感情，因此几乎每一个手势都是内心情感的流露。
temp/《零距离人性》/index.md	162	（H1之后/未识别章节）	10	叠腿姿态坐在椅子上时，有许多人马上就把脚交叠或扶住椅把。坐在车子里或客厅、办公室等地方，脚经常交叠的人也很多。
temp/《零距离人性》/index.md	170	（H1之后/未识别章节）	11	头部动作头是人体最重要的组成部分，通过观察一个人的头能了解到很多的信息，因为从某种意义上说头就是心灵的指挥官。
temp/《零距离人性》/index.md	186	（H1之后/未识别章节）	12	等电梯时的姿势通常，一个人在等待的状态是最容易暴露他内心的真实想法。人们的许多潜意识会不知不觉地通过等待的状态表现出来，比如说等电梯，无论是等一分钟或是好几分钟，都可以反映出他们的内心。
temp/《零距离人性》/index.md	196	（H1之后/未识别章节）	13	与人交谈的姿态在与他人交谈的时候，除了语言外，往往还会辅以肢体语言，或加强自己的语气，或传达自己的思想。因此，从一个人与他人交谈的姿态，总能看出些端倪。
temp/《零距离人性》/index.md	233	（H1之后/未识别章节）	14	打电话时的姿态近年来，社会心理学家提出许多可以透视人心的方法，虽然有些方法令人感到奇怪，但如果能巧妙，灵活地运用，一定可以收到意想不到的效果。举个例来说，打电话是现代人与他人沟通的重要手段，根据心理学分析，一个人在打电话时的姿态，就可以看出这个人的基本性格。
