line	major	no	text
7	玩转生活	2	试验 80 人，79 人用身体“说话"近些年，身体语言学在西方方兴未艾。为了取得第一手的资料，研究者们进行了多种多样的试验。这里介绍的主要是对人体所需要的“私人空间”所做的试验。对这方面的试验，美国加利福尼亚大学心理学教授和心理学系主任萨默作了详细描述。其中，对女科学家南希·拉森的试验结果的报导最具典型性。拉森在研究侵犯空间的问题时，她把一个大学图书馆作为实验场地，图书馆非常适合于用来观察人的反应，这是笼罩着一种特殊肃静的气氛，这种气氛
14	玩转生活	4	有趣的狗打架人是自然界长期发展的产物。人在没有成为人之前，和其他动物一样生活在自然界中。后来，有了思维能力，能够制造工具，并在劳动中产生了传播信息的语言。那么，在没有语言之前，就不会传播信息吗?当然不是。这里，我们看看动物是怎么传播的。动物传播与人类传播之间的关系，目前才开始为人类所了解。我们在非口头传播中所获的知识，许多是从动物的实验而来。鸟类彼此间的传播，是借鸟鸣行之。代代相传，鸣同样的调子，同样单纯或复杂的曲调。许多年来，科学家一
23	玩转生活	7	校长误解了一位女学生的眼神人的眼睛是传神的，但在不同的国家和地区，由于受到不同文化的影响，眼睛传出的内容也不同，不了解这一点，就有可能产生对眼神的误解。例如，在美国，如果敢于正视对方，这是正直和诚实的标志，但其它国家却有其它规则。纽约一所中学一个名叫利维亚的 15 岁女学生，有一天和几个女同学在盥洗室被人碰上了，人们怀疑她们在那儿抽烟。这些女生中大部分是出了名的捣蛋鬼，尽管利维亚从来没有犯过错误，校长在跟她谈话后确信她这次犯了校规，并决
41	玩转职场	1	瞒不过丁老板的三角眼丁老板是位五十多岁的人，长一双三角眼，在一家广告公司任总经理已经五年了。因为他是我的朋友，所以从我这里了解了一些有关身体语言学方面的知识。我还送给他一本美国的朱利·法思特所写的《人体语言》小册子给他读。他读后给我打电话说：“要是早两年看过这本书，就不会用错那几个人，公司也就不会遭那么大的损失。”他说的那几个人，是两年前他们公司聘用的三个温州人。当时，那三个人经人介绍找到了他的公司。说他们掌握有七八家大客户，有的是做广
73	玩转职场	8	他寡言少语，怎么也当上了头头有人对他人的影响力是靠话语产生的，这种人通常被看成是“能说会道”的人物。有人对他人的影响是靠身体动作产生的，这种人往往是含蓄的“力量式”人物。西方曾有人研究了一个群体组织，证明寡言少语的“力量式”人物，也能当头头。这是一个青年组织，其中有 3 个青年是出名的“话匣子。”有人把这个组织的活动拍成了电影，放映后发现其间 72—93％的话是这 3 个人说的。这个组织有 2 个头头，其中一个就是话匣子，他叫汤姆。另一
74	玩转职场	9	老板驾驭部下的“体语软件”上司驾驭部下，是非常重要的。看一个领导者胜不胜任领导工作，很重要的一条，就是看他能不能驾驭局面。驾驭部下需要权威，需要命令。但是，仅仅有了权威、命令等“硬件”还不够，还需要有“软件”与之配合。“软件”之一：称呼部下的名字，可以使部下增强责任感。在西方，有一种被称作所谓的杂交、乱交的舞会或是换妻的聚会。在这类场合中，参加的人都必须戴上面具。我记得曾经看过这类的照片，因为参加的人都袒呈裸露且戴着面具，所以聚会场面的
79	玩转职场	10	由走路来了解你的职员查尔斯、柴契尔在《罗西亚德这一家》中描写了一个人的走路姿态：“一条腿不灵活、局促、僵滞而不能优雅地移动或站稳，好象对另一条腿心存戒惧，而想逃开似的。”根据这段描写，我们完全可以闭上眼睛想像出此人的走路的特征。在现实生活中，每个人都有其不同的走路姿态，使他的朋友一眼便认出来。至少有一些特征，是因为身体的结构而有所不同，但是步法、跨步的大小和姿势，似乎是随着情绪而改变的。假如一个小孩很快乐，他会走得比较快，脚步也轻快，反
91	玩转生意场	4	石膏点豆腐，一物降一物每天打开电视，你都能看到各种宣传性广告，这都是信息爆炸的产品。如果回想一下，现在的广告和几十年以前比较，数量并没有减少，但人们对广告的反感情绪却减少了。这是因为广告大都能配合消费者的消费时机。如各种家用电器什么的。当人们有钱购买这些产品了，广告就成了他们所需要的信息，再加上现在的广告制作也不那么千篇一律了，所以，也就不很惹人心烦了。就商业而言，往往需要说服别人，而说服的技巧人人不同，需视对方的情形而随时变化。这就叫
92	玩转生意场	5	正确运用“假眠效果”当你和朋友喝酒聊天摆龙门阵时，经常会互相询问：“业务推展不顺利”、“交易碰壁”、“自己无法突破”等问题应如何解决，在纷纭的意见中，令人印象最深刻的建议就是：“睡觉好了!”为什么呢?因为当你询问如何改善当前情况时，假使工作无法进展，那倒不妨暂缓这项交易，或许等以后出现更好时机时再谈。这种心理在心理学上是可以找到立论的根据。说服他人时，并非都能立即显示成效，往往必须经过一段时问，此称之为“假眠效果”。以上所举例是确有其事
114	玩转办公室	2	“看他那样。官气十足"官僚主义是许多权力机关的通病。我们常常能听到一些到权力机关办事的人一出办公室就说：“看他那样，官气十足。”“那样”是指哪样呢?一是站样：他左手握拳撑着腰，右手掌扶撑着办公室的墙。这姿势似乎在说：“这办公室归我所有，连墙都是我的。”这种心理必然导致他把自己看成是“主人”而不是“公仆”。说这种人“官气十足”是一点也不过分的。难怪从事人事管理的人会因经常用以上所述的姿势而感到内疚。有人发现刚升上这位置的人也会突然用起这姿
